	umls_meddra	umls_def
429	C0085084	Motor neurone disease
430	C0393615	Familial tremor
431	C1455780	Aortic valve sclerosis
432	C1698818	Photodamaged skin
433	C0263383	Keratosis pilaris
434	C0376545	Haematological malignancy
435	C0033845	Benign intracranial hypertension
436	C0043046	Wasting generalized
437	C0206669	Hepatocellular adenoma
438	C2826318	Refractory cytopenia with unilineage dysplasia
439	C1697883	Infusion related pain
440	C0235906	Bronchospasm aggravated
441	C0010930	Dacryocystitis
442	C0855506	Red blood cells semen positive
443	C0085684	Footdrop
444	C0400821	Colitis microscopic
445	C0854144	Septic arthritis streptobacillus
446	C0007282	Carotid artery stenosis
448	C0240322	Menstruation delayed
449	C0235304	Acid indigestion
450	C0748538	Scleral pigmentation
451	C0152165	Persistent vomiting
452	C0520904	Nausea postoperative
453	C2363809	Incessant ventricular tachycardia
454	C1096355	Electrocardiogram U-wave abnormality
455	C1167791	Skin toxicity
456	C0235409	Increased insulin requirement
457	C0007095	Carcinoid tumour
458	C0860901	Protein total decreased
459	C0151620	Hypertensive encephalopathy
460	C0476089	Endometrial cancer
461	C0239946	Hepatic fibrosis
462	C0855618	Alanine aminotransferase decreased
463	C0221245	Skin fissures
464	C0236000	Pain in jaw
465	C0006267	Bronchiectasis
466	C0085740	Mendelson's syndrome
467	C3544060	Accidental exposure to product
468	C0748052	Erythrodermic psoriasis
469	C0392175	Renal haemorrhage
470	C1095923	Febrile bone marrow aplasia
471	C0235901	Lacrimation abnormal NOS
472	C0151905	Alanine aminotransferase increased
473	C0277884	Blood pressure systolic increased
474	C0151705	Retroperitoneal haemorrhage
475	C0003123	Anorexia
476	C0004144	Atelectasis
477	C1112537	Neurological examination abnormal
478	C0340952	Secondary anemia
479	C0574960	Sacroiliitis
480	C0233485	Apprehension
481	C0857807	Accidental ingestion
482	C0863083	Injection site tenderness
483	C0042571	Vertigo
484	C0267566	Perirectal abscess
485	C0020517	Hypersensitivity
486	C0158281	Cervicobrachial syndrome
487	C2973529	Leukocytoclastic vasculitis
488	C0020557	Hypertriglyceridaemia
489	C0015802	Femur fracture
490	C0001807	Aggression
491	C0035508	Rhonchi
492	C0149976	Proctitis herpes
493	C0005411	Atresia biliary
494	C0233660	Thought blocking
495	C1262010	Post lumbar puncture syndrome
496	C1456863	Vasoconstriction
497	C0587246	Limb paresis
498	C0027822	Neurodermatitis
499	C0030293	Pancreatic insufficiency
500	C0241057	Skin burning sensation
501	C0853782	Blood creatine phosphokinase abnormal
502	C0005398	Cholestasis extrahepatic
503	C0221045	Cardiac failure high output
504	C0149771	Rectocele
505	C0019937	Horner's syndrome
506	C0013604	Oedema
507	C0268621	Hypermethioninaemia
508	C0264588	Spasmodic dysphonia
509	C0549450	Oesophageal reflux aggravated
510	C0152006	Vitreous opacities
511	C1963921	Chemical phlebitis
512	C0853347	Venous thrombosis limb
513	C0018816	Cardiac septal defect
514	C0856099	Hemorrhoids aggravated
515	C0020595	Hypoaldosteronism
516	C0427546	Lymphocyte abnormal
517	C0857177	Arthritic pains
518	C0853198	Gastroenteritis yersinia
519	C1963943	Atherothrombosis
521	C0854679	Needle injury
522	C0265783	Pulmonary hypoplasia
523	C1956346	Coronary artery disease
524	C0151539	Blood urea increased
525	C1168034	Gastric pH decreased
526	C0852990	Blood thromboplastin decreased
527	C0872380	Food craving
528	C0857751	Erythema multiforme minor
529	C0027849	Neuroleptic malignant syndrome
530	C0151190	Palpable purpura
531	C0034155	Thrombotic thrombocytopenic purpura
532	C0580531	White blood cell count abnormal
533	C0277960	Dry hair
534	C0024904	Mastoiditis
535	C0863100	Tightness in jaw
536	C0009806	Constipation
537	C0546959	Atrial tachycardia
538	C0041782	Deficiency anaemia
539	C0856110	Oedema aggravated
540	C0022410	Joint instability
541	C0852795	Blood insulin increased
542	C0162871	Abdominal aortic aneurysm
543	C0001361	Acute tonsillitis
544	C0011616	Dermatitis contact
545	C0152021	Heart disease congenital
546	C0268070	Copper deficiency
547	C0153349	Tongue neoplasm malignant stage unspecified
548	C0877203	Respiratory tract infection viral
549	C0086543	Cataract
550	C3495442	Phantom pain
551	C0919578	Idiosyncratic drug reaction
552	C2747853	Injury associated with device
553	C0038367	Ulcerative stomatitis
554	C3267019	Central nervous system haemorrhage
555	C0520966	Coordination abnormal
556	C0085661	Onycholysis
557	C1262038	Post procedural nausea
558	C0155540	Otorrhoea
559	C1611157	Hepatic infiltration eosinophilic
560	C0234939	Inflammatory swelling
561	C0919883	Puncture site haemorrhage
562	C0948387	Secondary adrenal insufficiency
563	C0021807	Intertrigo
564	C0024437	Macular degeneration
565	C0015256	Excoriation
566	C0159076	Choluria
567	C1142166	Brugada syndrome
568	C0037650	Somatoform disorder
569	C0004509	Azoospermia
570	C0679048	Obsessive thoughts
571	C0270934	Toxic neuropathy
572	C0151821	Accidental overdose
573	C0162296	Polyarthralgia
574	C0271899	Normochromic normocytic anaemia
575	C0936250	Eczema herpeticum
576	C0013528	Echolalia
577	C0024138	Discoid lupus erythematosus
578	C0853336	Corneal infiltrates
579	C0425643	Midsystolic click
580	C0004763	Barrett's oesophagus
581	C0018813	Myocardial rupture
582	C0948380	Colorectal cancer metastatic
583	C0497202	Abnormal eye movements NOS
584	C0392519	Calcium deficiency
585	C0026975	Myelitis
586	C0155789	Oesophageal varices haemorrhage
587	C1868829	Ultrasound ovary abnormal
588	C0271429	Otitis media acute
589	C0235140	Drug maladministration
590	C0476254	Dyslexia
591	C1868809	Catheter thrombosis
592	C1720775	Renal tubular necrosis
593	C0265294	Metaphyseal dysplasia
594	C0007107	Laryngeal cancer
595	C0854107	Haemorrhage subcutaneous
596	C0024528	Malaise and fatigue
597	C0018916	Haemangioma
598	C0877183	Nail bed tenderness
599	C1527249	Colorectal cancer
600	C0409974	Lupus erythematosus
601	C0013221	Drug toxicity
602	C0037315	Sleep apnoea syndrome
603	C0241635	Vaginal erythema
604	C0521464	Skin oedema
605	C0009759	Conjunctival disorder
606	C0234535	Clonic convulsion
607	C0857112	Glaucoma both eyes
608	C0856126	Hematuria aggravated
609	C0262405	Cerebral dysfunction
610	C0221714	Injection site infection
611	C0038000	Splenic rupture
612	C0278151	Facial spasm
613	C0019156	Venoocclusive liver disease
614	C0080179	Spinal fracture
615	C0034933	Reflexes abnormal
616	C0023531	Leukoplakia
617	C0235063	Respiratory depression
618	C0030807	Pemphigus
619	C0853068	Glomerular filtration rate decreased
620	C0162739	HELLP syndrome
621	C0392171	Influenza-like symptoms
622	C0241136	Pain of skin
623	C0015668	Fat necrosis
624	C0235196	Suicidal tendency
625	C1868919	Upper abdominal discomfort
626	C0236053	Mucosal ulceration
627	C2939447	Right ventricular failure
628	C0149777	Abscesses of skin
629	C0392525	Nephrolithiasis
630	C0011253	Delusion
631	C0016385	Cardiac flutter
632	C0700361	Emotional distress
633	C1697438	Cystitis viral
634	C0151586	Partial permanent deafness
635	C1868710	Bronchial secretion retention
636	C0029408	Osteoarthritis
637	C0877406	Performance status decreased
638	C0151609	Scrotal oedema
639	C0037293	Acrochordon
640	C1456329	Stomach dilation procedure
641	C0242645	Blue toe syndrome
642	C0042487	Venous thrombosis
643	C0033860	Psoriasis
644	C0080174	Spina bifida occulta
645	C0521516	Polymyalgia
646	C0155550	Neural hearing loss
647	C0857199	Red blotches
648	C0740409	Psychotic behaviour
649	C0235552	Subglottic edema
650	C0021122	Impulse-control disorder
651	C0085606	Micturition urgency
652	C0004161	Sports injury
653	C0235129	Feeling strange
654	C0854382	Libido disorder
655	C1535970	Blood count abnormal
656	C0519063	Pulmonary lymphoma
657	C0855704	Vital dye staining cornea present
658	C0877664	Gastrointestinal cramps
660	C1142139	Drug reaction with eosinophilia and systemic symptoms
661	C0239182	Watery diarrhoea
662	C0751372	Pain nerve
663	C0151811	Subcutaneous nodule
664	C0015544	Failure to thrive
665	C0241712	Vulval erythema
666	C0149985	Secondary syphilis
667	C0149793	Amaurosis fugax
668	C0439857	Dependence
669	C0231613	Occipital headache
670	C0233469	Blunted affect
672	C0877117	Cytomegalovirus gastritis
673	C0042167	Posterior uveitis
674	C0240991	Sensory ataxia
675	C0423773	Skin scaly
676	C0014724	Eructation
677	C0010068	Coronary heart disease
678	C0152029	Sinus congestion
679	C0085681	Hyperphosphataemia
680	C0410959	Foetal acidosis
681	C0011124	Libido decreased
682	C0040485	Torticollis
683	C0033975	Psychotic disorder
684	C0856604	Rubber sensitivity
685	C0338375	Aseptic peritonitis
686	C0522251	Sinus pain
687	C1696685	Intentional drug misuse
688	C0520901	Increased skin sensitivity
689	C1262165	High turnover osteopathy
690	C1262299	Oral papilloma
691	C0027540	Necrosis
692	C0235955	Dermatitis hemorrhagic
693	C0022658	Nephropathy
694	C0919947	Thoracic vertebral fracture
695	C0852792	Blood cortisol decreased
696	C0040517	Tourette's disorder
697	C0151574	Cough decreased
698	C0220650	Brain cancer metastatic
699	C0231694	Festinating gait
700	C0740401	Duodenal ulcer perforation
701	C0232191	Reflex bradycardia
702	C0018790	Cardiac arrest
703	C0877690	Renal graft loss
704	C0857051	Bad dreams
705	C0000924	Accident
706	C0340909	Arteriovenous fistula thrombosis
707	C0149725	Lower respiratory tract infection
708	C0854985	Lung adenocarcinoma stage I
709	C0580181	Jessner's lymphocytic infiltration
710	C1142277	Brown urine
711	C0235922	Breast neoplasm benign female
712	C1412000	Mesenteric vascular insufficiency
713	C0019618	Histiocytosis
714	C0424444	Teeth clenching
715	C0023380	Lethargy
716	C0235524	Vein pain
717	C1536696	Overactivity
718	C0271650	Glucose tolerance impaired
719	C2937222	Proctitis ulcerative
720	C0235723	Reaction febrile
721	C0221395	Erythropenia
722	C1609512	Vulvovaginal mycotic infection
723	C0040053	Thrombosis
724	C0031117	Neuropathy peripheral
725	C0151754	Lactic dehydrogenase activity increased
726	C0008325	Cholecystitis
727	C0274702	Cholinergic syndrome
728	C0853020	Blood oestrogen increased
729	C0221260	Nail dystrophy
730	C0919939	Graft thrombosis
731	C0235169	Excitability
732	C1504363	Body temperature fluctuation
733	C0679254	Disease recurrence
734	C0154002	Benign vaginal neoplasm
735	C0032019	Pituitary tumour
736	C0028242	Nocardiosis
737	C0037011	Shoulder pain
738	C0150055	Chronic pain
739	C0019338	Herpangina
740	C1096343	Infusion site reaction
741	C0241379	Increased thirst
743	C0037195	Sinus headache
744	C1142333	Oral mucosal irritation
745	C0740457	Renal cancer
746	C1695895	Angiodermatitis
747	C0015970	Fever of unknown origin
748	C0016655	Multiple fractures
749	C0028850	Eye movement disorder
750	C1698394	Acute promyelocytic leukaemia differentiation syndrome
751	C0023055	Laryngeal neoplasm
752	C0855624	Aspartate aminotransferase normal
753	C0018979	Hemianopia
754	C0151467	Adrenocortical insufficiency acute
755	C0263445	Acne fulminans
756	C0423226	Corneal pigmentation
757	C0521654	Neurological impairment
758	C0015624	Fanconi syndrome
759	C0036572	Convulsion
760	C0877338	Breast discomfort
761	C0002965	Angina unstable
762	C3241958	Myocardial disorder
763	C0151686	Growth retardation
764	C0019623	Malignant histiocytosis
765	C2931822	Nasopharyngeal carcinoma
766	C2609199	Product taste abnormal
767	C0036416	Scleritis
768	C0241426	Burning tongue
769	C0854080	Painful response to normal stimuli
770	C0948978	Catheter site cellulitis
771	C0853277	Pseudo-Bartter syndrome
772	C0474395	Increased activity
773	C0019342	Genital herpes
774	C0524909	Chronic hepatitis B
775	C0877090	Orthostatic collapse
776	C1167709	Epidermal necrosis
777	C0018932	Haematochezia
778	C0079487	Helicobacter infection
779	C0019825	Hoarseness
781	C0232452	Cutis anserina
782	C0595928	Serum calcium increased
783	C0235884	Gastric perforation
784	C0011606	Dermatitis exfoliative
785	C0392008	Anaesthetic complication
786	C0014852	Oesophageal disorder
787	C2609269	Fasting hyperglycaemia
788	C0015371	Extrapyramidal disorder
789	C0007102	Colon cancer
790	C0023418	Leukaemia
791	C0019357	Ophthalmic herpes simplex
792	C0025289	Meningitis
793	C1096275	Increased viscosity of bronchial secretion
794	C1384606	Dyspareunia
795	C0002994	Angioedema
796	C0265072	Inferior vena cava syndrome
797	C1444565	Cardiopulmonary failure
798	C0857083	Generalized macular rash
799	C0152427	Polydactyly
800	C0232910	Teratogenicity
801	C0003873	Rheumatoid arthritis
802	C0856081	Restlessness aggravated
803	C0151747	Renal tubular disorder
804	C0085383	Hypocapnia
805	C0027769	Nervousness
806	C0151964	Conjunctival ulcer
807	C0027721	Lipoid nephrosis
808	C1442839	Hypervitaminosis D
809	C1852242	AION
810	C0022603	Seborrhoeic keratosis
811	C0241442	Protrusion tongue
812	C0235097	Withdrawal seizures
813	C0151970	Oesophageal ulcer
814	C0343263	Chondrolysis
815	C0860160	Diabetes mellitus inadequate control
816	C1442837	Myocardial necrosis
817	C0007196	Restrictive cardiomyopathy
818	C1442903	Exostosis
819	C0037933	Spinal disorder
820	C1739111	Foetal anticonvulsant syndrome
821	C0242698	Left ventricular dysfunction
822	C0239385	Paresthesia of limbs
823	C0236082	Vaginal pain
824	C0014534	Epididymitis
825	C0268948	Scrotal ulcer
826	C0024198	Lyme disease
827	C0016542	Foreign body
828	C0340608	Renal artery thrombosis
829	C0877305	Postoperative wound complication
830	C0392707	Atopy
831	C0151734	Injection site inflammation
832	C0233565	Bradykinesia
833	C0240291	Mg reduced
834	C0948521	Oral pruritus
835	C0860603	Anxiety symptoms NOS
836	C0151934	Hypogeusia
837	C0521506	Injection site paraesthesia
838	C0541767	Platelet aggregation abnormal
839	C2364111	Ageusia
840	C0023524	Progressive multifocal leukoencephalopathy
841	C0700345	Vulvovaginal candidiasis
842	C0014118	Endocarditis
843	C0403639	Chemical cystitis
844	C0948441	Venoocclusive disease
845	C0041349	Tubulointerstitial nephritis
846	C0019917	Hordeolum
847	C1142072	Oral toxicity
848	C0742115	Cerebritis
849	C1096340	Dysphemia
850	C0162292	External ophthalmoplegia
851	C0341318	Enterocutaneous fistula
852	C0740481	Hypotension asymptomatic
853	C0578159	Antibiotic-associated diarrhea
854	C0919890	Hyperfibrinogenaemia
855	C0038663	Suicide attempt
856	C0868908	Pancolitis
